airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
BRW,,1.3927746411922175,,,,,,,,,,,,,,,,,,,,,
BTM,,,,,,,,,,,,,,,,,,1.345873189282051,,,,,
BTR,,,,,2.110872855701312,1.2776500129068595,1.5800731170700237,1.7468627907578462,4.023785498053914,2.0731920618903463,,,,,1.565429289134122,1.7266305843500596,1.1208265695608302,1.6939544508168454,,,,1.0424407906452187,
BTV,,,,1.952148281905571,,1.3314467892189121,2.415199481904303,1.4866960539593181,2.8423590088574953,1.888380035705969,1.1421908285682252,,,2.298780692902792,1.5229417700480798,2.203638718616805,2.1225473707814775,1.512632208394065,,,1.2263706693575513,1.867204843592331,
BUF,2.005297679112008,,,2.1426632798636,2.5834174234779685,2.3966639930312987,2.744077651242131,1.786487478213008,2.5549161200807267,2.239488731920619,2.2214407277437234,,,3.067411582289385,1.550473492199022,1.9086866544664693,2.31011865409374,1.696011227484139,3.4283229920346954,,1.8423200105295485,1.9671152522232807,
BUR,,1.770558962284492,,2.1279357353435824,,1.250192912684751,,1.0713084426505213,,,1.3695257315842584,,1.0343087790110999,1.6533243637179056,2.0090121437767494,,,3.353649512277161,2.361722166162126,1.3783652875882946,1.070635721493441,1.7719646308300123,
BWI,2.6925970094486744,1.3694173487311732,1.4273015967234524,3.5637782294168643,3.0599142280524725,3.1908359445536143,2.3783139161544815,1.7979283430391597,1.6596511460285426,,1.9970679511832912,,,2.909872395866597,1.2090413723511604,1.1936998201202123,1.5154884526778745,1.4090847478048707,3.4127144298688195,3.203065686415838,3.816907725081287,3.1797898256021364,1.0701311806256306
BZN,,1.5362596703666331,1.3548851427553867,1.6700156480790884,,1.8548351833165153,1.0,1.168718466195762,,,1.242237609752137,,1.4478567981397799,1.2159664250986149,1.1417623476150216,,1.040592606182919,2.340845386254064,3.144875306328384,,,2.1661154090518373,
CAE,,,,2.1092463752721864,1.5797174571140262,1.808153725409023,1.7547492651252576,1.6709235579229458,2.6214598049108644,1.2638748738647831,,,,,1.1722166162125798,2.6953061423781777,1.5531169413611392,1.3116971663893964,,,,,
CAK,3.0270123418458432,,1.968718466195762,,,1.5266534613995093,1.4066924904788256,1.7877324491855269,2.843140503335994,1.9333088707458033,,,,,1.4772180392765661,2.720071553068526,1.074335687857383,2.21220012369389,2.448138509745605,1.5329758874647952,,,
CDB,,1.2025731584258326,,,,,,,,,,,,,,,,,,,,,
CDC,,,,,,,,,,,,,,,,,,1.3246079118849305,,,,,
CDV,,1.4319120014010391,,,,,,,,,,,,,,,,,,,,,
CEC,,,,,,,,,,,,,,,,,,2.4248234106962663,,,,,
CGI,,,,,,,,,,,,,,,,,,1.8440446779637427,,,,,
CHA,,,1.2637116400546091,,1.9952068617558023,1.6342851428623377,1.8977744141719923,1.5779515640766903,3.0301131233735195,1.2039786651290183,,,,,1.8166414396232762,2.4086929423636256,1.1869203786459084,2.214985502433292,,,,,
CHO,,,,,1.7936427850655903,1.2535162138256655,2.2503287160199372,1.9031087479624311,2.0808386590424934,,,,,,,1.8408755724598307,1.5550827008292019,2.7212692005830252,,,,,
CHS,,1.1150031131245035,1.3810229566094854,2.2302646899014205,1.8270686175580222,2.7167662112162616,1.8851481515457298,1.7276586842558639,2.869747729566095,1.5676084762865792,1.4076867243790607,,,2.8618731373055173,2.1870427598385467,2.632586132333862,2.673348270023431,1.6280341253096047,2.9982815637769633,3.1608476286579212,1.2920660948536833,2.16929191996259,
CIC,,,,,,,,,,,,,,,,,,2.579212916246216,,,,,
CID,,,1.7573010031459608,3.5817356205852673,2.6975277497477297,1.2645876379478802,1.6967709384460141,2.388782997595645,2.3614530776992937,1.3984038161636547,1.1980695827666388,,,,2.2038765556676756,1.5745976079800168,1.3715382890458572,2.9019845274133873,,,,1.905546746111832,
CIU,,,,,,,1.417356205852674,,,,,,,,,,,1.6678011191633795,,,,,
CKB,,,1.241873834204813,,,,,,,,,,,,,,,2.1999470645646886,,,,,
CLD,,,,,,,,,,,,,,,,,,2.601701023497189,,,,,
CLE,,1.232626976118399,1.9422969995263495,2.8533162095220623,3.9061553985872854,2.4974863053193026,2.6828404795703706,2.398318197107299,4.760847628657921,2.43070972082072,3.0503609407746644,,,2.293673675322803,1.5839478382364356,2.649864162074051,2.541629381413857,2.424273910741226,3.483213326720142,3.296670030272452,1.6474356161979555,3.4264771835407557,
CLL,,,,,2.5051715438950555,,,1.6448388437110464,1.840881365121918,1.736573606906604,,,,,1.1009081735620585,,,1.7563852449826214,,,,1.024217961654894,
CLT,,,,3.4460141271442986,4.307769929364278,3.457967864627804,2.661262840978644,3.2505476114296967,2.9433522391175755,1.4790255153524579,2.400440326575543,,,2.2037504204507234,2.6512127667526255,,3.262361251261352,2.1278233069588914,2.975741267365889,2.3606986689731393,,1.8689722655413876,
CMH,1.8778234883179383,1.218615689352319,,3.0549257038839754,,2.4187689202825426,1.4834780631315643,3.1444489769628787,2.7816381920038973,1.8466971978576419,1.5737551946008703,,,,1.9642879667003026,2.025578693086261,3.2187016481668347,2.20343087790111,2.829297006390851,2.581396502952805,1.4729522221734743,1.974479405559123,
CMI,,,,,3.7151025899764547,,,2.5731967453920728,,,,,,,,,,,,,,,
CMX,,,,,,,,,,,,,,,,,,1.9945793129904679,,,,,
CNY,,,,,,,,,,,,,,,,,,1.4326114517840047,,,,,
COD,,,,,,,,,,,,,,,,,,1.6594488006739554,,,,,
COS,,,1.0393541876892027,2.442776656575849,,1.380776385055864,,1.0989647568860486,1.5997258912300256,1.2029375490525844,2.08497530405226,,,,1.4341425773134682,,1.1437605112680793,3.710105232809572,3.803027245206862,,,1.9686944404401518,
COU,,,,,2.2860746720484357,,,1.8995837537840563,1.7544567776656574,,,,,,1.7631762788170455,,,2.1402623612512617,,,,,
CPR,,,1.082744702320888,,,,,,,,,,,,,,1.1150353178607468,2.028797640301172,,,,,
CRP,,,,1.6887223103166593,2.067482341069627,,,1.8728439678032527,2.188485846300919,1.789157977351721,,,,,2.4407212078517984,,1.1454999759742444,1.403575844572988,2.0863723928580367,,,1.2230070635721493,
CRW,,,,,,1.3052280652454367,1.4620898430703921,,2.747294884731817,1.5776992936427852,,,,,,2.805110400383109,,1.9704339051463169,,1.1176408572676477,,,
CSG,,,,,,,1.709353411472483,,2.08103702553753,,,,,,1.288092835519677,1.6438858820291715,,1.4873444332324253,,,,,
CVG,,1.260415165056941,3.908700039485807,2.311806256306761,4.204507231752439,3.5094395009632144,2.8696770938446012,3.4369954591321896,2.178892642477954,2.5650136946806974,3.039883955600404,,,,2.0889593644386784,2.762635144875306,2.786961968057344,2.3670018114840796,2.8414212763355042,,,2.040323954552007,
CWA,,,,,1.9045156407669022,,2.0304572135131678,1.6836294088658392,1.757297823266542,1.094853683148335,,,,,,,,1.402966319517164,,,,,
CYS,,,,,,,,,,,,,,,,,,1.5844460610611786,,,,,
DAB,,,,1.564561049445005,,1.952497477295661,,1.1252382554097993,1.0279179280188362,,,,,1.2674339324187962,1.1492431886982846,2.122143408321956,1.013925327951564,,,,1.1286579212916246,,
DAL,,1.7537646510905844,,,,1.8736125126135217,1.2336024217961654,,2.7235116044399597,,,,1.2766902119071646,,,,,2.0935586949209553,4.152371342078709,,,,3.723924410604532
DAY,1.9027400450205698,,1.3155112429778453,1.8396268167897039,2.4062274758541156,1.6974772956609487,1.607543650429624,1.9930176183351311,2.4125842257739007,2.002421796165489,,,,,1.643121426168853,2.960982172889337,1.3074081830816975,2.2749646821392533,2.2366189320909458,,,1.0,
DBQ,,,,,1.458699726106386,,,1.777258484253014,,,,,,,,,,,,,,,
DCA,2.639379414732593,2.0280440632357886,,3.6534645139589643,,3.449123189789184,2.4214744292838444,2.445475028682803,3.7537371224743623,3.503531786074672,2.214033741691755,,,3.089039450290712,1.695684892849202,2.166498486377397,2.8838638657003948,2.184381169657351,2.5374912675619035,,,2.9877170395629635,1.712970304166066
DDC,,,,,,,,,,,,,,,,,,1.6068101283645837,,,,,
DEC,,,,,,,,,,,,,,,,,,1.8833069050021622,,,,,
