airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
HTS,1.490999206764625,1.490999206764625,1.5252864011396687,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.3370332996972754,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.6106779194569305,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625,1.490999206764625
HVN,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,2.174419778002018,1.2216616212579885,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035,1.6980406996300035
HYA,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689,1.3295798550591689
HYS,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736,1.8665395971147736
IAD,2.375852781700504,1.7517159384959688,1.5747179157875424,2.838378742011436,2.375852781700504,2.5457289518711885,1.9147853065650557,1.2867626823227227,1.7112724195175937,2.375852781700504,2.1255746159883393,2.375852781700504,2.375852781700504,3.1202346542612323,3.640893037336024,2.1004424435302336,2.677996707206968,2.5791257116517796,2.810784012635458,2.375852781700504,2.375852781700504,3.3988395560040363,1.9363918120224881
IAG,1.336161127016639,1.336161127016639,1.3735234759897905,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.336161127016639,1.2987987780434873,1.336161127016639,1.336161127016639,1.336161127016639
IAH,2.794134464937733,1.316209522062196,2.794134464937733,3.548413986750318,3.487991927346115,2.834165383185512,1.9980349460937914,1.729061553985873,2.794134464937733,4.949545913218971,2.4490062738560083,2.794134464937733,2.794134464937733,1.8892700975445678,2.687689202825429,1.12658369772396,1.6920859161020614,2.249915909855365,4.128355196770938,3.6513622603430878,4.374602188931149,3.387991927346115,2.794134464937733
ICT,1.8438857034705034,1.8438857034705034,1.3371371757582953,2.270401354122587,2.4386982845610494,1.4722241553289954,1.325765220316179,1.6293160180757251,2.526707581346876,2.009193855813432,1.1810686421697718,1.8438857034705034,1.1006979482004708,1.8438857034705034,2.0436470608356565,1.8438857034705034,1.3361884870814071,3.234810262055469,2.1073272901491578,1.8438857034705034,1.8438857034705034,1.6451022162424787,1.8438857034705034
IDA,1.7254858527610621,1.7254858527610621,1.498263785837241,1.7254858527610621,1.7254858527610621,2.1688530104271777,1.7254858527610621,1.7254858527610621,1.7254858527610621,1.7254858527610621,1.1082240161453079,1.7254858527610621,1.3769716926018376,1.7254858527610621,1.7254858527610621,1.7254858527610621,1.7254858527610621,2.4751167587937455,1.7254858527610621,1.7254858527610621,1.7254858527610621,1.7254858527610621,1.7254858527610621
IFP,1.2658154156640533,1.2658154156640533,1.22401614530777,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.307614686020337,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533,1.2658154156640533
